Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Saint Kitts and Nevis,Americas,2686,5049.632,40,75.199,11,25,47,4,7.52,0
Bhutan,South-East Asia,2622,339.81,1,0.13,0,3,0.389,0,0,0
Bonaire,Americas,2405,11498.924,42,200.813,0,19,90.844,0,0,0
Faroe Islands,Europe,2373,4856.237,527,1078.482,85,4,8.186,2,4.093,1
Cayman Islands,Americas,2241,3409.921,962,1463.786,591,2,3.043,0,0,0
Guernsey,Europe,2227,3454.427,153,237.327,42,23,35.677,0,0,0
Saint Barthélemy,Americas,1660,16793.121,1,10.116,1,4,40.465,0,0,0
Anguilla,Americas,984,6559.125,125,833.222,40,1,6.666,0,0,0
Greenland,Europe,835,1470.795,56,98.64,12,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,330,573.345,39,67.759,1,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,1,0.946,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
