Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wizard Video Games,0.58,0.03,0,0.01,0.62
White Park Bay Software,0.13,0.01,0,0.01,0.16
Westwood Studios,1.55,0,0,0,1.55
WayForward Technologies,0.05,0,0,0.01,0.05
Warp,0,0,0.07,0,0.07
Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76
Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,3.38
Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
Warner Bros. Interactive Entertainment,1.79,1.06,0,0.29,3.15
Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
Warner Bros. Interactive Entertainment,1.98,0.55,0,0.32,2.85
Warner Bros. Interactive Entertainment,1.47,0.76,0,0.47,2.7
Warner Bros. Interactive Entertainment,1.29,0.97,0,0.23,2.49
Warner Bros. Interactive Entertainment,1.07,0.87,0.04,0.4,2.39
Warner Bros. Interactive Entertainment,1.07,1.05,0,0.23,2.35
Warner Bros. Interactive Entertainment,1.24,0.85,0,0.21,2.3
Warner Bros. Interactive Entertainment,1.71,0.32,0.02,0.18,2.22
Warner Bros. Interactive Entertainment,1.63,0.33,0,0.15,2.11
Warner Bros. Interactive Entertainment,0.77,0.85,0.01,0.37,2
Warner Bros. Interactive Entertainment,1.15,0.61,0,0.17,1.93
Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71
Warner Bros. Interactive Entertainment,0.9,0.64,0,0.15,1.68
Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
Warner Bros. Interactive Entertainment,0.95,0.5,0,0.14,1.59
Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56
Warner Bros. Interactive Entertainment,1.07,0.36,0,0.12,1.55
Warner Bros. Interactive Entertainment,1.08,0.31,0,0.11,1.5
Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,1.46
Warner Bros. Interactive Entertainment,0.86,0.46,0,0.13,1.45
Warner Bros. Interactive Entertainment,0.97,0.34,0,0.11,1.41
Warner Bros. Interactive Entertainment,0.55,0.6,0,0.22,1.37
Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
Warner Bros. Interactive Entertainment,1,0.21,0,0.13,1.35
Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
Warner Bros. Interactive Entertainment,0.72,0.42,0,0.19,1.32
Warner Bros. Interactive Entertainment,0.69,0.52,0,0.11,1.32
Warner Bros. Interactive Entertainment,0.57,0.46,0,0.28,1.32
Warner Bros. Interactive Entertainment,0.81,0.38,0,0.12,1.31
Warner Bros. Interactive Entertainment,0.72,0.03,0,0.52,1.27
Warner Bros. Interactive Entertainment,0.63,0.51,0,0.11,1.26
Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
Warner Bros. Interactive Entertainment,0.5,0.53,0,0.2,1.22
Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
Warner Bros. Interactive Entertainment,0.36,0.53,0,0.21,1.1
Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04
Warner Bros. Interactive Entertainment,0.61,0.34,0,0.09,1.04
Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01
Warner Bros. Interactive Entertainment,0.51,0.39,0,0.09,0.99
Warner Bros. Interactive Entertainment,0.88,0.05,0,0.07,0.99
Warner Bros. Interactive Entertainment,0.52,0.37,0,0.08,0.97
Warner Bros. Interactive Entertainment,0.36,0.45,0,0.16,0.97
Warner Bros. Interactive Entertainment,0.47,0.4,0,0.08,0.95
Warner Bros. Interactive Entertainment,0.48,0.38,0,0.08,0.95
Warner Bros. Interactive Entertainment,0.34,0.44,0,0.15,0.93
Warner Bros. Interactive Entertainment,0.37,0.39,0,0.15,0.92
Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89
Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89
Warner Bros. Interactive Entertainment,0.46,0.29,0,0.12,0.87
Warner Bros. Interactive Entertainment,0.63,0.17,0,0.07,0.87
Warner Bros. Interactive Entertainment,0.25,0.45,0.01,0.15,0.86
Warner Bros. Interactive Entertainment,0.52,0.26,0,0.08,0.86
Warner Bros. Interactive Entertainment,0.33,0.35,0,0.13,0.81
Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07,0.81
Warner Bros. Interactive Entertainment,0.43,0.27,0,0.06,0.77
Warner Bros. Interactive Entertainment,0.47,0.18,0,0.12,0.76
Warner Bros. Interactive Entertainment,0.41,0.27,0,0.06,0.74
Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74
Warner Bros. Interactive Entertainment,0.35,0.3,0,0.07,0.72
Warner Bros. Interactive Entertainment,0.42,0.22,0,0.07,0.71
Warner Bros. Interactive Entertainment,0.14,0.37,0,0.19,0.71
Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69
Warner Bros. Interactive Entertainment,0.26,0.21,0.11,0.09,0.67
Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67
Warner Bros. Interactive Entertainment,0.35,0.23,0.03,0.06,0.66
Warner Bros. Interactive Entertainment,0.15,0.35,0,0.16,0.66
Warner Bros. Interactive Entertainment,0.25,0.29,0,0.1,0.64
Warner Bros. Interactive Entertainment,0.22,0.32,0,0.1,0.64
Warner Bros. Interactive Entertainment,0.2,0.33,0.01,0.1,0.64
Warner Bros. Interactive Entertainment,0.35,0.22,0,0.06,0.63
Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6
Warner Bros. Interactive Entertainment,0.12,0.37,0,0.1,0.6
Warner Bros. Interactive Entertainment,0.55,0.01,0,0.04,0.6
Warner Bros. Interactive Entertainment,0.36,0.18,0,0.05,0.59
Warner Bros. Interactive Entertainment,0.4,0.12,0,0.05,0.57
Warner Bros. Interactive Entertainment,0.24,0.28,0,0.05,0.56
Warner Bros. Interactive Entertainment,0.12,0.32,0,0.1,0.54
Warner Bros. Interactive Entertainment,0.15,0.3,0,0.09,0.54
Warner Bros. Interactive Entertainment,0.28,0.21,0,0.05,0.54
Warner Bros. Interactive Entertainment,0.13,0.29,0.01,0.11,0.54
Warner Bros. Interactive Entertainment,0.14,0.32,0,0.08,0.54
Warner Bros. Interactive Entertainment,0.28,0.19,0.02,0.04,0.53
Warner Bros. Interactive Entertainment,0.39,0.1,0,0.04,0.53
Warner Bros. Interactive Entertainment,0.16,0.28,0,0.09,0.53
Warner Bros. Interactive Entertainment,0.32,0.15,0,0.05,0.53
Warner Bros. Interactive Entertainment,0.2,0.2,0,0.13,0.53
Warner Bros. Interactive Entertainment,0.47,0.01,0,0.04,0.52
Warner Bros. Interactive Entertainment,0.34,0.13,0,0.04,0.51
Warner Bros. Interactive Entertainment,0.3,0.16,0,0.05,0.51
Warner Bros. Interactive Entertainment,0.25,0.19,0,0.06,0.5
Warner Bros. Interactive Entertainment,0.2,0.26,0,0.04,0.5
Warner Bros. Interactive Entertainment,0.09,0.29,0,0.11,0.49
Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49
Warner Bros. Interactive Entertainment,0.28,0.17,0,0.04,0.49
Warner Bros. Interactive Entertainment,0.19,0.21,0.01,0.08,0.49
Warner Bros. Interactive Entertainment,0.23,0.21,0,0.04,0.47
Warner Bros. Interactive Entertainment,0.21,0.17,0.01,0.07,0.46
Warner Bros. Interactive Entertainment,0.33,0.09,0,0.04,0.46
Warner Bros. Interactive Entertainment,0.26,0.16,0,0.04,0.46
Warner Bros. Interactive Entertainment,0.29,0.13,0,0.04,0.46
Warner Bros. Interactive Entertainment,0.21,0.21,0,0.04,0.45
Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45
Warner Bros. Interactive Entertainment,0.3,0.11,0,0.04,0.44
Warner Bros. Interactive Entertainment,0.23,0.17,0,0.04,0.43
Warner Bros. Interactive Entertainment,0.24,0.13,0,0.06,0.42
Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06,0.41
Warner Bros. Interactive Entertainment,0.09,0.23,0,0.09,0.41
Warner Bros. Interactive Entertainment,0.05,0.26,0,0.09,0.41
Warner Bros. Interactive Entertainment,0.36,0.02,0,0.03,0.41
Warner Bros. Interactive Entertainment,0.18,0.19,0,0.04,0.4
Warner Bros. Interactive Entertainment,0.26,0.1,0,0.03,0.4
Warner Bros. Interactive Entertainment,0.19,0.17,0,0.03,0.39
Warner Bros. Interactive Entertainment,0.37,0,0,0.02,0.39
Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38
Warner Bros. Interactive Entertainment,0.17,0.18,0,0.03,0.38
Warner Bros. Interactive Entertainment,0.26,0.09,0,0.03,0.38
Warner Bros. Interactive Entertainment,0.21,0.13,0,0.03,0.37
Warner Bros. Interactive Entertainment,0.17,0.15,0,0.04,0.37
Warner Bros. Interactive Entertainment,0.17,0.13,0,0.06,0.37
Warner Bros. Interactive Entertainment,0.29,0.05,0,0.03,0.36
Warner Bros. Interactive Entertainment,0.12,0.2,0,0.04,0.36
Warner Bros. Interactive Entertainment,0.13,0.18,0,0.04,0.35
Warner Bros. Interactive Entertainment,0.17,0.15,0,0.03,0.34
Warner Bros. Interactive Entertainment,0.14,0.03,0,0.16,0.33
Warner Bros. Interactive Entertainment,0.1,0.15,0,0.07,0.33
Warner Bros. Interactive Entertainment,0.2,0.09,0,0.03,0.33
Warner Bros. Interactive Entertainment,0.13,0.16,0,0.04,0.32
Warner Bros. Interactive Entertainment,0.18,0.11,0,0.03,0.32
Warner Bros. Interactive Entertainment,0.1,0.17,0,0.05,0.32
Warner Bros. Interactive Entertainment,0.29,0,0,0.02,0.31
Warner Bros. Interactive Entertainment,0.11,0.17,0,0.03,0.31
Warner Bros. Interactive Entertainment,0.18,0.1,0,0.03,0.31
Warner Bros. Interactive Entertainment,0.24,0.04,0,0.02,0.3
Warner Bros. Interactive Entertainment,0.28,0,0,0.02,0.3
Warner Bros. Interactive Entertainment,0.14,0.1,0.01,0.05,0.3
Warner Bros. Interactive Entertainment,0.22,0.06,0,0.02,0.3
Warner Bros. Interactive Entertainment,0.21,0.06,0,0.02,0.29
Warner Bros. Interactive Entertainment,0.27,0,0,0.02,0.28
Warner Bros. Interactive Entertainment,0.26,0,0,0.02,0.28
Warner Bros. Interactive Entertainment,0.1,0.11,0,0.06,0.27
Warner Bros. Interactive Entertainment,0.13,0.12,0,0.02,0.27
Warner Bros. Interactive Entertainment,0.08,0.11,0,0.08,0.27
Warner Bros. Interactive Entertainment,0.16,0.09,0,0.02,0.27
Warner Bros. Interactive Entertainment,0,0.24,0,0.02,0.26
Warner Bros. Interactive Entertainment,0.03,0.16,0,0.05,0.24
Warner Bros. Interactive Entertainment,0.17,0.05,0,0.02,0.24
Warner Bros. Interactive Entertainment,0.09,0.13,0,0.02,0.24
Warner Bros. Interactive Entertainment,0.12,0.1,0,0.02,0.24
Warner Bros. Interactive Entertainment,0.09,0.1,0,0.05,0.24
Warner Bros. Interactive Entertainment,0.12,0.09,0,0.02,0.23
Warner Bros. Interactive Entertainment,0.07,0.11,0,0.05,0.23
Warner Bros. Interactive Entertainment,0.21,0.01,0,0.02,0.23
Warner Bros. Interactive Entertainment,0.1,0.11,0,0.02,0.23
Warner Bros. Interactive Entertainment,0.07,0.13,0,0.03,0.22
Warner Bros. Interactive Entertainment,0.05,0.14,0,0.03,0.22
Warner Bros. Interactive Entertainment,0.1,0.08,0,0.03,0.21
Warner Bros. Interactive Entertainment,0.03,0.13,0,0.05,0.21
Warner Bros. Interactive Entertainment,0.05,0.1,0.04,0.01,0.21
Warner Bros. Interactive Entertainment,0.1,0.08,0,0.02,0.2
Warner Bros. Interactive Entertainment,0.04,0.11,0,0.03,0.18
Warner Bros. Interactive Entertainment,0.07,0.08,0.01,0.01,0.18
Warner Bros. Interactive Entertainment,0.11,0.06,0,0.02,0.18
Warner Bros. Interactive Entertainment,0.04,0.12,0,0.02,0.18
Warner Bros. Interactive Entertainment,0.09,0.05,0,0.03,0.17
Warner Bros. Interactive Entertainment,0.08,0.07,0,0.02,0.17
Warner Bros. Interactive Entertainment,0.1,0.04,0,0.02,0.17
Warner Bros. Interactive Entertainment,0.13,0.03,0,0,0.17
Warner Bros. Interactive Entertainment,0,0.14,0,0.02,0.16
Warner Bros. Interactive Entertainment,0.02,0.09,0,0.04,0.16
Warner Bros. Interactive Entertainment,0.04,0.08,0,0.03,0.15
Warner Bros. Interactive Entertainment,0.13,0,0,0.01,0.14
Warner Bros. Interactive Entertainment,0.11,0.02,0,0.01,0.14
Warner Bros. Interactive Entertainment,0.13,0,0,0.01,0.14
Warner Bros. Interactive Entertainment,0.11,0.01,0,0.02,0.14
Warner Bros. Interactive Entertainment,0.12,0,0,0.01,0.14
Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.14
Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.13
Warner Bros. Interactive Entertainment,0.07,0.05,0,0.01,0.13
Warner Bros. Interactive Entertainment,0.09,0.03,0,0.01,0.13
Warner Bros. Interactive Entertainment,0.11,0.01,0,0.01,0.13
Warner Bros. Interactive Entertainment,0.08,0.03,0,0.01,0.13
Warner Bros. Interactive Entertainment,0.05,0.07,0,0.01,0.13
Warner Bros. Interactive Entertainment,0.11,0,0,0.01,0.12
Warner Bros. Interactive Entertainment,0.03,0.07,0,0.02,0.12
Warner Bros. Interactive Entertainment,0.1,0.02,0,0.01,0.12
Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01,0.12
Warner Bros. Interactive Entertainment,0.11,0,0,0.01,0.12
Warner Bros. Interactive Entertainment,0.07,0.02,0,0.02,0.12
Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01,0.12
Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.08,0.02,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.08,0.02,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.04,0.06,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.1,0,0,0.01,0.11
Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.1
Warner Bros. Interactive Entertainment,0.06,0.04,0,0.01,0.1
Warner Bros. Interactive Entertainment,0.08,0.01,0,0.01,0.1
Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1
Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.1
Warner Bros. Interactive Entertainment,0.09,0,0,0.01,0.09
Warner Bros. Interactive Entertainment,0.02,0.05,0,0.02,0.09
Warner Bros. Interactive Entertainment,0.07,0.01,0,0.01,0.09
Warner Bros. Interactive Entertainment,0.08,0,0,0.01,0.09
Warner Bros. Interactive Entertainment,0.04,0.04,0,0.01,0.09
Warner Bros. Interactive Entertainment,0.08,0,0,0.01,0.08
Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,0.08
Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,0.08
Warner Bros. Interactive Entertainment,0.06,0.01,0,0.01,0.08
Warner Bros. Interactive Entertainment,0.01,0.05,0,0.01,0.07
Warner Bros. Interactive Entertainment,0.02,0.04,0,0,0.07
Warner Bros. Interactive Entertainment,0.02,0.04,0,0.01,0.06
Warner Bros. Interactive Entertainment,0,0.06,0,0.01,0.06
Warner Bros. Interactive Entertainment,0.02,0.03,0,0.01,0.06
Warner Bros. Interactive Entertainment,0.03,0.02,0,0.01,0.06
Warner Bros. Interactive Entertainment,0.03,0.02,0,0.01,0.06
Warner Bros. Interactive Entertainment,0.01,0.04,0,0,0.05
Warner Bros. Interactive Entertainment,0,0.04,0,0.01,0.05
Warner Bros. Interactive Entertainment,0.05,0,0,0,0.05
Warner Bros. Interactive Entertainment,0.04,0,0,0,0.05
Warner Bros. Interactive Entertainment,0,0.04,0,0,0.05
Warner Bros. Interactive Entertainment,0,0.04,0,0,0.04
Warner Bros. Interactive Entertainment,0.01,0.01,0,0,0.02
Warner Bros. Interactive Entertainment,0,0.02,0,0,0.02
Wargaming.net,0,0.23,0,0.06,0.29
Warashi,0,0,0.02,0,0.02
Wanadoo,0.2,0.15,0.06,0.05,0.46
Wanadoo,0.07,0.06,0,0.02,0.14
Wanadoo,0.01,0,0,0,0.02
Wanadoo,0.01,0,0,0,0.02
Wanadoo,0.01,0,0,0,0.01
Vivendi Games,1.73,2.19,0,0.79,4.7
Vivendi Games,4.03,0,0.09,0,4.12
Vivendi Games,2.28,0.02,0.08,0,2.37
Vivendi Games,1.29,0.83,0,0.11,2.23
Vivendi Games,0.74,1.01,0,0.2,1.95
Vivendi Games,0.85,0.76,0,0.16,1.77
Vivendi Games,0.85,0.65,0,0.08,1.58
Vivendi Games,0.63,0.66,0,0.07,1.36
Vivendi Games,0.7,0.58,0,0.07,1.35
Vivendi Games,0.99,0.04,0,0.16,1.19
Vivendi Games,1.03,0.02,0,0,1.06
Vivendi Games,0.77,0.2,0,0.03,0.99
Vivendi Games,0.56,0.21,0,0.01,0.78
