Platform,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
XOne,0.29,0.08,0,0.04,0.4
XOne,0.31,0.06,0,0.03,0.4
XOne,0.23,0.14,0,0.04,0.4
XOne,0.15,0.2,0,0.03,0.38
XOne,0.21,0.13,0,0.03,0.37
XOne,0.23,0.09,0,0.03,0.35
XOne,0.25,0.07,0,0.03,0.34
XOne,0.13,0.18,0,0.03,0.34
XOne,0.18,0.13,0,0.03,0.34
XOne,0.19,0.11,0,0.03,0.33
XOne,0.18,0.11,0,0.03,0.32
XOne,0.24,0.04,0,0.03,0.32
XOne,0.18,0.11,0,0.03,0.31
XOne,0.15,0.13,0,0.03,0.31
XOne,0.18,0.1,0,0.03,0.31
XOne,0.22,0.06,0,0.02,0.31
XOne,0.15,0.11,0,0.02,0.28
XOne,0.19,0.06,0,0.03,0.28
XOne,0.13,0.12,0,0.02,0.27
XOne,0.15,0.09,0,0.02,0.27
XOne,0.15,0.07,0,0.02,0.25
XOne,0.12,0.1,0,0.02,0.24
XOne,0.08,0.15,0,0.02,0.24
XOne,0.12,0.1,0,0.02,0.24
XOne,0.17,0.05,0,0.02,0.23
XOne,0.16,0.05,0,0.02,0.23
XOne,0.08,0.13,0,0.02,0.23
XOne,0.13,0.07,0,0.02,0.22
XOne,0.1,0.1,0,0.02,0.22
XOne,0.12,0.07,0,0.02,0.21
XOne,0.17,0.02,0,0.02,0.2
XOne,0.14,0.05,0,0.02,0.2
XOne,0.1,0.09,0,0.02,0.2
XOne,0.1,0.09,0,0.02,0.2
XOne,0.16,0.02,0,0.01,0.19
XOne,0.1,0.07,0,0.02,0.19
XOne,0.11,0.07,0,0.02,0.19
XOne,0.15,0.03,0,0,0.19
XOne,0.08,0.09,0,0.01,0.18
XOne,0.11,0.05,0,0.02,0.17
XOne,0.08,0.07,0,0.01,0.17
XOne,0.08,0.07,0,0.01,0.16
XOne,0.11,0.04,0,0.01,0.16
XOne,0.08,0.06,0,0.01,0.16
XOne,0.13,0.01,0,0.02,0.15
XOne,0.07,0.07,0,0.01,0.15
XOne,0.11,0.03,0,0.01,0.15
XOne,0.08,0.05,0,0.02,0.15
XOne,0.08,0.06,0,0.01,0.15
XOne,0.08,0.05,0,0.01,0.14
XOne,0.08,0.05,0,0.01,0.14
XOne,0.02,0.1,0,0.01,0.14
XOne,0.09,0.03,0,0.01,0.13
XOne,0.08,0.04,0,0.01,0.13
XOne,0.1,0.02,0,0.01,0.13
XOne,0.08,0.04,0,0.01,0.13
XOne,0.05,0.07,0,0.01,0.12
XOne,0.03,0.09,0,0.01,0.12
XOne,0.08,0.03,0,0.01,0.12
XOne,0.08,0.02,0,0.01,0.11
XOne,0.03,0.08,0,0.01,0.11
XOne,0.08,0.02,0,0.01,0.11
XOne,0.06,0.03,0,0.01,0.11
XOne,0.04,0.05,0,0.01,0.1
XOne,0.03,0.06,0,0.01,0.1
XOne,0.08,0.01,0,0.01,0.1
XOne,0.04,0.05,0,0.01,0.1
XOne,0.07,0.02,0,0.01,0.1
XOne,0.06,0.03,0,0.01,0.1
XOne,0.01,0.07,0,0.01,0.09
XOne,0.03,0.05,0,0.01,0.09
XOne,0.04,0.03,0.01,0.01,0.08
XOne,0.03,0.04,0,0.01,0.08
XOne,0.03,0.04,0,0.01,0.08
XOne,0.05,0.02,0,0.01,0.07
XOne,0.05,0.02,0,0.01,0.07
XOne,0.04,0.02,0,0.01,0.07
XOne,0.04,0.02,0,0.01,0.07
XOne,0.05,0.01,0,0.01,0.07
XOne,0.03,0.03,0,0.01,0.06
XOne,0.05,0.01,0,0.01,0.06
XOne,0.03,0.02,0,0.01,0.06
XOne,0.02,0.03,0,0,0.06
XOne,0.05,0,0,0.01,0.05
XOne,0.02,0.02,0,0,0.05
XOne,0.02,0.02,0,0,0.05
XOne,0.03,0.02,0,0,0.05
XOne,0.04,0.01,0,0,0.05
XOne,0.02,0.02,0,0,0.04
XOne,0.04,0,0,0,0.04
XOne,0.02,0.02,0,0,0.04
XOne,0.03,0.01,0,0,0.04
XOne,0,0.04,0,0,0.04
XOne,0.03,0.01,0,0,0.04
XOne,0.03,0,0,0,0.04
XOne,0,0.04,0,0,0.04
XOne,0.03,0,0,0,0.04
XOne,0.01,0.03,0,0,0.04
XOne,0.01,0.02,0,0,0.04
XOne,0.02,0.01,0,0,0.03
XOne,0,0.03,0,0,0.03
XOne,0.03,0,0,0,0.03
XOne,0.01,0.01,0,0,0.03
XOne,0,0.02,0,0,0.03
XOne,0.02,0,0,0,0.03
XOne,0.02,0,0,0,0.02
XOne,0.02,0,0,0,0.02
XOne,0,0.02,0,0,0.02
XOne,0,0.02,0,0,0.02
XOne,0.01,0.01,0,0,0.02
XOne,0,0.02,0,0,0.02
XOne,0,0.02,0,0,0.02
XOne,0.01,0,0,0,0.02
XOne,0.02,0,0,0,0.02
XOne,0.01,0.01,0,0,0.02
XOne,0,0.01,0,0,0.01
XOne,0,0,0.01,0,0.01
XOne,0.01,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0,0.01,0,0,0.01
XOne,0.01,0,0,0,0.01
XOne,0.01,0,0,0,0.01
XOne,0,0.01,0,0,0.01
XB ����,186.69,60.95,1.38,8.72,258.26
XB,6.82,1.53,0.05,0.08,8.49
XB,4.98,1.3,0.08,0.07,6.43
XB,1.85,1.04,0,0.13,3.02
XB,2.09,0.63,0.03,0.11,2.86
XB,1.99,0.58,0,0.09,2.66
XB,1.84,0.56,0,0.09,2.49
XB,1.38,0.8,0,0.1,2.28
XB,1.68,0.44,0,0.08,2.19
XB,1.37,0.61,0.05,0.09,2.12
XB,1.54,0.44,0.04,0.07,2.1
XB,1.26,0.61,0,0.09,1.95
XB,1.75,0.03,0,0.08,1.86
XB,1.19,0.29,0.24,0.06,1.77
XB,1.23,0.46,0,0.07,1.76
XB,1.24,0.45,0,0.07,1.75
XB,1.61,0.03,0,0.08,1.72
XB,1.09,0.55,0,0.07,1.71
XB,1.22,0.39,0,0.06,1.67
XB,0.97,0.59,0.04,0.07,1.67
XB,1.54,0.02,0,0.07,1.63
XB,0.91,0.57,0,0.07,1.55
XB,1,0.43,0,0.06,1.49
XB,0.82,0.59,0,0.07,1.48
XB,1.07,0.28,0,0.05,1.4
XB,0.96,0.37,0,0.05,1.38
XB,0.99,0.33,0,0.05,1.37
XB,0.86,0.45,0,0.06,1.36
XB,0.7,0.58,0,0.07,1.35
XB,0.85,0.43,0,0.06,1.34
XB,0.84,0.43,0,0.04,1.31
XB,0.85,0.37,0,0.05,1.27
XB,0.82,0.38,0,0.04,1.24
XB,0.92,0.2,0.07,0.04,1.23
XB,0.59,0.57,0,0.07,1.23
XB,0.98,0.19,0,0.05,1.22
XB,0.93,0.24,0,0.04,1.21
XB,0.78,0.4,0,0.04,1.21
XB,0.72,0.43,0.01,0.04,1.2
XB,0.76,0.38,0,0.05,1.19
XB,0.76,0.36,0,0.05,1.17
XB,0.83,0.28,0,0.05,1.16
XB,0.71,0.38,0,0.05,1.14
XB,1.01,0.1,0,0.03,1.13
XB,0.99,0.12,0,0.02,1.13
XB,0.66,0.4,0,0.05,1.12
XB,0.82,0.26,0,0.04,1.12
XB,0.85,0.23,0,0.04,1.11
XB,0.68,0.38,0,0.05,1.11
XB,1.02,0.02,0,0.05,1.09
XB,0.78,0.26,0,0.01,1.05
XB,0.52,0.51,0,0.02,1.05
XB,0.53,0.46,0,0.05,1.04
XB,0.97,0.03,0,0.03,1.02
XB,0.78,0.18,0.03,0,1
XB,0.74,0.21,0,0.04,0.99
XB,0.73,0.21,0,0.03,0.97
XB,0.33,0.6,0,0.04,0.97
XB,0.77,0.15,0,0.04,0.96
XB,0.88,0.04,0,0.04,0.95
XB,0.7,0.2,0,0.03,0.94
XB,0.57,0.33,0,0.04,0.94
XB,0.59,0.3,0,0.04,0.93
XB,0.77,0.11,0,0.04,0.91
XB,0.61,0.26,0,0.04,0.91
XB,0.41,0.43,0.01,0.05,0.9
XB,0.65,0.22,0,0.03,0.9
XB,0.62,0.24,0,0.04,0.9
XB,0.81,0.05,0,0.04,0.9
XB,0.65,0.19,0,0.03,0.87
XB,0.61,0.24,0,0.03,0.87
XB,0.48,0.37,0,0.02,0.87
XB,0.64,0.18,0,0.03,0.85
XB,0.62,0.18,0.01,0.03,0.83
XB,0.58,0.22,0,0.03,0.82
XB,0.68,0.11,0,0.03,0.82
XB,0.69,0.11,0,0.02,0.82
XB,0.48,0.28,0,0.04,0.8
XB,0.24,0.49,0,0.05,0.79
XB,0.36,0.38,0,0.03,0.76
XB,0.61,0.12,0,0.03,0.76
XB,0.48,0.24,0,0.03,0.75
XB,0.61,0.1,0,0.03,0.74
XB,0.59,0.12,0,0.03,0.74
XB,0.54,0.16,0,0.03,0.73
XB,0.54,0.16,0,0.03,0.73
XB,0.53,0.17,0,0.03,0.72
XB,0.45,0.24,0,0.03,0.71
XB,0.67,0.02,0,0.03,0.71
XB,0.49,0.2,0,0.02,0.71
XB,0.53,0.15,0,0.03,0.71
XB,0.52,0.16,0,0.02,0.7
XB,0.48,0.19,0,0.03,0.7
XB,0.54,0.13,0,0.02,0.69
XB,0.62,0.04,0,0.02,0.68
XB,0.63,0.02,0,0.03,0.68
XB,0.54,0.11,0,0.03,0.68
XB,0.29,0.38,0,0.01,0.68
XB,0.51,0.15,0,0.02,0.68
XB,0.49,0.16,0,0.02,0.67
XB,0.46,0.18,0,0.03,0.67
XB,0.48,0.17,0,0.02,0.67
XB,0.49,0.15,0,0.02,0.66
XB,0.48,0.16,0,0.02,0.66
XB,0.49,0.14,0,0.02,0.66
XB,0.47,0.15,0,0.02,0.64
XB,0.43,0.19,0,0.02,0.64
XB,0.57,0.04,0,0.03,0.64
XB,0.29,0.33,0,0.01,0.64
XB,0.41,0.19,0,0.03,0.63
XB,0.2,0.4,0,0.04,0.63
XB,0.38,0.22,0,0.03,0.62
XB,0.4,0.2,0,0.03,0.62
XB,0.47,0.13,0,0.02,0.62
XB,0.46,0.13,0,0.02,0.61
XB,0.37,0.21,0,0.03,0.61
XB,0.42,0.16,0,0.02,0.6
XB,0.44,0.13,0,0.02,0.59
XB,0.36,0.08,0.14,0.02,0.59
XB,0.33,0.22,0,0.03,0.58
XB,0.53,0.02,0,0.03,0.58
XB,0.32,0.24,0,0.02,0.57
XB,0.43,0.12,0,0.02,0.57
XB,0.42,0.11,0.02,0.02,0.57
XB,0.45,0.1,0,0.02,0.57
XB,0.39,0.16,0,0.02,0.57
XB,0.4,0.14,0,0.02,0.56
XB,0.39,0.15,0,0.02,0.56
XB,0.43,0.11,0,0.02,0.56
XB,0.39,0.15,0,0.02,0.56
XB,0.52,0.02,0,0.02,0.56
XB,0.42,0.12,0,0.01,0.56
XB,0.42,0.11,0,0.02,0.55
XB,0.4,0.13,0,0.02,0.55
XB,0.34,0.18,0,0.02,0.55
XB,0.4,0.13,0,0.02,0.55
XB,0.39,0.14,0,0.02,0.55
XB,0.4,0.12,0,0.02,0.55
XB,0.4,0.12,0,0.02,0.54
XB,0.16,0.35,0,0.04,0.54
XB,0.42,0.11,0,0.02,0.54
XB,0.43,0.1,0,0.02,0.54
XB,0.46,0.06,0,0.02,0.54
XB,0.4,0.11,0,0.02,0.53
XB,0.4,0.11,0,0.02,0.53
XB,0.34,0.17,0,0.02,0.53
XB,0.32,0.19,0,0.01,0.53
XB,0.32,0.19,0,0.02,0.53
XB,0.31,0.19,0,0.03,0.53
XB,0.39,0.11,0,0.02,0.52
XB,0.38,0.12,0,0.02,0.52
XB,0.38,0.11,0,0.02,0.52
XB,0.44,0.04,0,0.02,0.51
XB,0.37,0.11,0,0.02,0.51
XB,0.37,0.11,0,0.02,0.51
XB,0.42,0.06,0,0.02,0.5
XB,0.3,0.1,0.08,0.02,0.5
XB,0.34,0.13,0,0.02,0.49
XB,0.37,0.11,0,0.02,0.49
XB,0.36,0.11,0,0.02,0.49
XB,0.36,0.11,0,0.02,0.48
XB,0.35,0.11,0,0.02,0.48
XB,0.35,0.1,0,0.02,0.47
XB,0.34,0.11,0,0.02,0.46
XB,0.36,0.08,0,0.02,0.46
XB,0.34,0.1,0,0.02,0.45
XB,0.32,0.11,0,0.02,0.45
XB,0.34,0.1,0,0.02,0.45
XB,0.34,0.1,0,0.02,0.45
XB,0.36,0.07,0,0.01,0.45
XB,0.06,0.33,0.02,0.03,0.44
XB,0.3,0.12,0,0.02,0.44
XB,0.33,0.1,0,0.02,0.44
XB,0.35,0.08,0,0.01,0.44
XB,0.33,0.1,0,0.02,0.44
XB,0.33,0.1,0,0.02,0.44
XB,0.34,0.08,0,0.02,0.44
XB,0.35,0.07,0,0.02,0.44
XB,0.32,0.09,0,0.02,0.43
XB,0.4,0.02,0,0.02,0.43
XB,0.33,0.08,0,0.01,0.43
XB,0.31,0.1,0,0.01,0.42
XB,0.32,0.09,0,0.02,0.42
XB,0.35,0.05,0,0.02,0.42
XB,0.32,0.09,0,0.02,0.42
XB,0.31,0.09,0,0.01,0.42
XB,0.31,0.09,0,0.01,0.42
XB,0.31,0.09,0,0.01,0.42
XB,0.3,0.1,0,0.02,0.42
XB,0.26,0.13,0,0.02,0.41
XB,0.32,0.07,0,0.01,0.4
XB,0.35,0.03,0,0.02,0.4
XB,0.26,0.11,0,0.02,0.39
XB,0.29,0.08,0,0.01,0.39
XB,0.29,0.08,0,0.01,0.39
XB,0.29,0.08,0,0.01,0.39
XB,0.29,0.08,0,0.01,0.38
XB,0.28,0.08,0,0.01,0.38
XB,0.28,0.08,0,0.01,0.38
XB,0.28,0.08,0,0.01,0.37
XB,0.31,0.04,0,0.01,0.36
XB,0.27,0.08,0,0.01,0.36
XB,0.27,0.08,0,0.01,0.36
XB,0.27,0.08,0,0.01,0.36
XB,0.27,0.08,0,0.01,0.36
XB,0.25,0.1,0,0.01,0.36
XB,0.26,0.08,0,0.01,0.35
XB,0.26,0.08,0,0.01,0.35
XB,0.26,0.07,0,0.01,0.34
XB,0.22,0.11,0,0.01,0.34
XB,0.25,0.07,0,0.01,0.34
XB,0.25,0.07,0,0.01,0.34
XB,0.25,0.07,0,0.01,0.34
XB,0.21,0.11,0,0.01,0.33
XB,0.25,0.07,0,0.01,0.33
XB,0.25,0.07,0,0.01,0.33
XB,0.25,0.07,0,0.01,0.33
XB,0.26,0.06,0,0.01,0.33
XB,0.24,0.07,0,0.01,0.33
XB,0.28,0.03,0,0.01,0.32
XB,0.24,0.07,0,0.01,0.32
XB,0.24,0.07,0,0.01,0.32
XB,0.24,0.07,0,0.01,0.32
XB,0.22,0.08,0,0.01,0.32
XB,0.24,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.24,0.05,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.31
XB,0.23,0.07,0,0.01,0.3
XB,0.22,0.06,0,0.01,0.3
XB,0.22,0.06,0,0.01,0.3
XB,0.22,0.06,0,0.01,0.29
XB,0.22,0.06,0,0.01,0.29
XB,0.22,0.06,0,0.01,0.29
XB,0.22,0.06,0,0.01,0.29
XB,0.22,0.06,0,0.01,0.29
XB,0.21,0.06,0,0.01,0.29
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.22,0.05,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.28
XB,0.21,0.06,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.18,0.08,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.2,0.06,0,0.01,0.27
XB,0.16,0.05,0.04,0.01,0.26
XB,0.19,0.06,0,0.01,0.26
XB,0.19,0.06,0,0.01,0.26
XB,0.19,0.06,0,0.01,0.26
XB,0.19,0.06,0,0.01,0.26
XB,0.19,0.06,0,0.01,0.26
XB,0.19,0.06,0,0.01,0.26
XB,0.19,0.05,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.2,0.04,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.16,0.08,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.19,0.05,0,0.01,0.25
XB,0.18,0.05,0,0.01,0.24
XB,0.14,0.04,0.05,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.24
XB,0.18,0.05,0,0.01,0.23
XB,0.18,0.05,0,0.01,0.23
XB,0.18,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.23
XB,0.17,0.05,0,0.01,0.22
XB,0.16,0.05,0,0.01,0.22
XB,0.16,0.05,0,0.01,0.22
XB,0.16,0.05,0,0.01,0.22
XB,0.16,0.05,0,0.01,0.21
XB,0.16,0.05,0,0.01,0.21
XB,0.16,0.05,0,0.01,0.21
XB,0.16,0.05,0,0.01,0.21
XB,0.16,0.05,0,0.01,0.21
XB,0.16,0.05,0,0.01,0.21
XB,0.16,0.05,0,0.01,0.21
XB,0.17,0.04,0,0.01,0.21
XB,0.16,0.04,0,0.01,0.21
XB,0.13,0.04,0.03,0.01,0.21
XB,0.15,0.04,0,0.01,0.21
XB,0.15,0.04,0,0.01,0.21
XB,0.15,0.04,0,0.01,0.21
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.14,0.04,0.02,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.2
XB,0.14,0.05,0,0.01,0.2
XB,0.15,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.12,0.03,0.03,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.13,0.05,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.19
XB,0.14,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.15,0.03,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.14,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.18
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.13,0.04,0,0.01,0.17
XB,0.12,0.04,0,0.01,0.17
XB,0.12,0.04,0,0.01,0.17
XB,0.12,0.04,0,0.01,0.17
XB,0.12,0.03,0,0.01,0.16
XB,0.12,0.03,0,0.01,0.16
XB,0.12,0.03,0,0.01,0.16
XB,0.12,0.03,0,0.01,0.16
XB,0.12,0.03,0,0.01,0.16
XB,0.12,0.03,0,0.01,0.16
XB,0.12,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.04,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.15
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.1,0.03,0,0,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.11,0.03,0,0.01,0.14
XB,0.08,0.03,0.03,0,0.14
XB,0.1,0.03,0,0,0.14
XB,0.09,0.03,0.01,0,0.14
XB,0.1,0.03,0,0,0.14
XB,0.1,0.03,0,0,0.14
XB,0.1,0.03,0,0,0.14
XB,0.1,0.03,0,0,0.14
XB,0.1,0.03,0,0,0.14
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
XB,0.1,0.03,0,0,0.13
